SAP2000 v14.0.0    3/26/21 14:49:30

Table:  Element Forces - Frames

       Frame     Station  OutputCase    CaseType           P          V2          V3           T          M2          M3   FrameElem ElemStation
                      mm                                   N           N           N        N-mm        N-mm        N-mm                      mm

          20     3750.00        DEAD   LinStatic        0.00    11164.77        0.00   -11068.37        0.00 18801716.36        20-1     3750.00
          20     4250.00        DEAD   LinStatic        0.00    18434.37        0.00   -11068.37        0.00 11401929.80        20-1     4250.00
          20     4750.00        DEAD   LinStatic        0.00    25703.97        0.00   -11068.37        0.00   367343.27        20-1     4750.00
          20     5250.00        DEAD   LinStatic        0.00    32578.12        0.00   -11068.37        0.00 -14269089.0        20-1     5250.00
          20     5750.00        DEAD   LinStatic        0.00    36684.12        0.00   -11068.37        0.00  -31716467.        20-1     5750.00
          20      250.00        LIVE   LinStatic        0.00    -9805.14        0.00    -2948.28        0.00 -8310132.56        20-1      250.00
          20      750.00        LIVE   LinStatic        0.00    -8805.14        0.00    -2948.28        0.00 -3615895.65        20-1      750.00
          20     1250.00        LIVE   LinStatic        0.00    -6930.14        0.00    -2948.28        0.00   338758.05        20-1     1250.00
          20     1750.00        LIVE   LinStatic        0.00    -4930.14        0.00    -2948.28        0.00  3303828.45        20-1     1750.00
          20     2250.00        LIVE   LinStatic        0.00    -2930.14        0.00    -2948.28        0.00  5268898.84        20-1     2250.00
          20     2750.00        LIVE   LinStatic        0.00     -930.14        0.00    -2948.28        0.00  6233969.24        20-1     2750.00
          20     3250.00        LIVE   LinStatic        0.00     1069.86        0.00    -2948.28        0.00  6199039.63        20-1     3250.00
          20     3750.00        LIVE   LinStatic        0.00     3069.86        0.00    -2948.28        0.00  5164110.03        20-1     3750.00
          20     4250.00        LIVE   LinStatic        0.00     5069.86        0.00    -2948.28        0.00  3129180.42        20-1     4250.00
          20     4750.00        LIVE   LinStatic        0.00     7069.86        0.00    -2948.28        0.00    94250.82        20-1     4750.00
          20     5250.00        LIVE   LinStatic        0.00     8944.86        0.00    -2948.28        0.00 -3930262.11        20-1     5250.00
          20     5750.00        LIVE   LinStatic        0.00     9944.86        0.00    -2948.28        0.00 -8694358.29        20-1     5750.00
          20      250.00       WINDX   LinStatic        0.00   1.664E-09        0.00   8.529E-07        0.00   4.674E-06        20-1      250.00
          20      750.00       WINDX   LinStatic        0.00   1.664E-09        0.00   8.529E-07        0.00   3.842E-06        20-1      750.00
          20     1250.00       WINDX   LinStatic        0.00   1.664E-09        0.00   8.529E-07        0.00   3.010E-06        20-1     1250.00
          20     1750.00       WINDX   LinStatic        0.00   1.664E-09        0.00   8.529E-07        0.00   2.178E-06        20-1     1750.00
          20     2250.00       WINDX   LinStatic        0.00   1.664E-09        0.00   8.529E-07        0.00   1.346E-06        20-1     2250.00
          20     2750.00       WINDX   LinStatic        0.00   1.664E-09        0.00   8.529E-07        0.00   5.139E-07        20-1     2750.00
          20     3250.00       WINDX   LinStatic        0.00   1.664E-09        0.00   8.529E-07        0.00  -3.182E-07        20-1     3250.00
          20     3750.00       WINDX   LinStatic        0.00   1.664E-09        0.00   8.529E-07        0.00  -1.150E-06        20-1     3750.00
          20     4250.00       WINDX   LinStatic        0.00   1.664E-09        0.00   8.529E-07        0.00  -1.982E-06        20-1     4250.00
          20     4750.00       WINDX   LinStatic        0.00   1.664E-09        0.00   8.529E-07        0.00  -2.814E-06        20-1     4750.00
          20     5250.00       WINDX   LinStatic        0.00   1.664E-09        0.00   8.529E-07        0.00  -3.647E-06        20-1     5250.00
          20     5750.00       WINDX   LinStatic        0.00   1.664E-09        0.00   8.529E-07        0.00  -4.479E-06        20-1     5750.00
          20      250.00       WINDY   LinStatic        0.00     3729.86        0.00      -64.90        0.00 10471762.33        20-1      250.00
          20      750.00       WINDY   LinStatic        0.00     3729.86        0.00      -64.90        0.00  8606831.27        20-1      750.00
          20     1250.00       WINDY   LinStatic        0.00     3729.86        0.00      -64.90        0.00  6741900.21        20-1     1250.00
          20     1750.00       WINDY   LinStatic        0.00     3729.86        0.00      -64.90        0.00  4876969.15        20-1     1750.00
          20     2250.00       WINDY   LinStatic        0.00     3729.86        0.00      -64.90        0.00  3012038.09        20-1     2250.00
          20     2750.00       WINDY   LinStatic        0.00     3729.86        0.00      -64.90        0.00  1147107.03        20-1     2750.00
          20     3250.00       WINDY   LinStatic        0.00     3729.86        0.00      -64.90        0.00  -717824.03        20-1     3250.00
          20     3750.00       WINDY   LinStatic        0.00     3729.86        0.00      -64.90        0.00 -2582755.09        20-1     3750.00
          20     4250.00       WINDY   LinStatic        0.00     3729.86        0.00      -64.90        0.00 -4447686.15        20-1     4250.00
          20     4750.00       WINDY   LinStatic        0.00     3729.86        0.00      -64.90        0.00 -6312617.21        20-1     4750.00
          20     5250.00       WINDY   LinStatic        0.00     3729.86        0.00      -64.90        0.00 -8177548.27        20-1     5250.00
          20     5750.00       WINDY   LinStatic        0.00     3729.86        0.00      -64.90        0.00 -10042479.3        20-1     5750.00
          21      250.00        DEAD   LinStatic        0.00   -36423.75        0.00   1.718E-05        0.00  -32541690.        21-1      250.00
          21      750.00        DEAD   LinStatic        0.00   -32317.75        0.00   1.718E-05        0.00 -15224499.3        21-1      750.00
          21     1250.00        DEAD   LinStatic        0.00   -25443.60        0.00   1.718E-05        0.00  -718253.62        21-1     1250.00
          21     1750.00        DEAD   LinStatic        0.00   -18174.00        0.00   1.718E-05        0.00 10186146.31        21-1     1750.00
          21     2250.00        DEAD   LinStatic        0.00   -10904.40        0.00   1.718E-05        0.00 17455746.27        21-1     2250.00
